image_name,Dp,Gd,Gc,sp,ctr,bri,tex,frac,Sm,prompt
2007_000033_aeroplane,0.0,0.0,0.0,0.0,0.4999994933605496,0.0,0.5000005066394504,0.0,0.0,0.0
2007_000042_train,0.0,0.0,0.0,0.0,0.49999183416366577,0.0,0.5000081658363342,0.0,0.0,0.0
2007_000061_boat,0.0,0.5001942366303731,0.0,0.0,0.4998057633696269,0.0,0.0,0.0,0.0,0.0
2007_000123_train,0.5000550001843274,0.0,0.49994499981567264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_000129_bicycle,0.0,0.4996703267097473,0.0,0.0,0.0,0.0,0.5003296732902527,0.0,0.0,0.0
2007_000129_person,0.0,0.0,0.0,0.0,0.5001046061515808,0.0,0.4998953938484192,0.0,0.0,0.0
2007_000175_sheep,0.5007436722295382,0.0,0.0,0.4992563277704618,0.0,0.0,0.0,0.0,0.0,0.0
2007_000323_person,0.0,0.0,0.0,0.0,0.5002204030686497,0.0,0.4997795969313503,0.0,0.0,0.0
2007_000332_horse,0.5005916953086853,0.0,0.4994083046913147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_000346_bottle,0.49997857212892605,0.0,0.0,0.0,0.0,0.0,0.500021427871074,0.0,0.0,0.0
2007_000346_person,0.5005538314415863,0.0,0.0,0.0,0.0,0.0,0.0,0.49944616855841373,0.0,0.0
2007_000464_cow,0.5004090070724487,0.0,0.0,0.0,0.0,0.0,0.0,0.49959099292755127,0.0,0.0
2007_000491_cow,0.0,0.0,0.0,0.0,0.0,0.0,0.4999411702156067,0.0,0.0,0.5000588297843933
2007_000529_car,0.0,0.0,0.0,0.0,0.0,0.4995701313018799,0.5004298686981201,0.0,0.0,0.0
2007_000559_bottle,0.0,0.0,0.0,0.0,0.5000935792922974,0.0,0.0,0.0,0.49990642070770264,0.0
2007_000572_bicycle,0.0,0.49993140995706886,0.0,0.0,0.0,0.5000685900429311,0.0,0.0,0.0,0.0
2007_000629_train,0.500819191312218,0.0,0.0,0.49918080868778203,0.0,0.0,0.0,0.0,0.0,0.0
2007_000636_train,0.500332772731781,0.0,0.0,0.0,0.0,0.0,0.0,0.499667227268219,0.0,0.0
2007_000661_sofa,0.0,0.0,0.0,0.0,0.0,0.5001291185655927,0.4998708814344073,0.0,0.0,0.0
2007_000663_bus,0.5002801269209347,0.0,0.0,0.0,0.0,0.0,0.0,0.4997198730790653,0.0,0.0
2007_000663_car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000787377357483,0.4999212622642517,0.0
2007_000676_sheep,0.0,0.4999999403953552,0.0,0.0,0.0,0.5000000596046448,0.0,0.0,0.0,0.0
2007_000727_bus,0.0,0.5003277212479031,0.0,0.0,0.0,0.49967227875209685,0.0,0.0,0.0,0.0
2007_000727_car,0.0,0.0,0.0,0.0,0.5003457069396973,0.49965429306030273,0.0,0.0,0.0,0.0
2007_000727_person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49997037649154663,0.0,0.5000296235084534
2007_000762_bottle,0.0,0.0,0.0,0.0,0.5004609227180481,0.4995390772819519,0.0,0.0,0.0,0.0
2007_000762_diningtable,0.0,0.0,0.0,0.0,0.0,0.5000396966934204,0.4999603033065796,0.0,0.0,0.0
2007_000762_person,0.500656008720398,0.0,0.0,0.0,0.49934399127960205,0.0,0.0,0.0,0.0,0.0
2007_000783_horse,0.0,0.0,0.0,0.0,0.4999968409538269,0.0,0.0,0.0,0.0,0.5000031590461731
2007_000783_person,0.5007014721422949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4992985278577051
2007_000799_horse,0.0,0.0,0.0,0.0,0.5000884383890498,0.0,0.0,0.0,0.0,0.4999115616109502
2007_000799_person,0.0,0.0,0.0,0.0,0.4999623745668642,0.0,0.0,0.0,0.0,0.5000376254331358
2007_000804_chair,0.4996027946472168,0.0,0.0,0.0,0.5003972053527832,0.0,0.0,0.0,0.0,0.0
2007_000804_sofa,0.0,0.0,0.0,0.0,0.0,0.4996437728192671,0.5003562271807329,0.0,0.0,0.0
2007_000830_chair,0.0,0.0,0.0,0.0,0.5004264712333679,0.0,0.4995735287666321,0.0,0.0,0.0
2007_000830_diningtable,0.0,0.500335156917572,0.0,0.0,0.0,0.499664843082428,0.0,0.0,0.0,0.0
2007_000837_boat,0.4998630881309509,0.0,0.0,0.0,0.0,0.0,0.0,0.5001369118690491,0.0,0.0
2007_000847_person,0.5007632970809937,0.0,0.0,0.49923670291900635,0.0,0.0,0.0,0.0,0.0,0.0
