subdir,unrefined_iou,unrefined_boundary_iou,refined_iou,refined_boundary_iou
10444876124_bd55a85740_o_car,0.9019168262436191,0.7997511594085404,0.9836711497076955,0.9598070975212911
10625393575_6f9fd7f779_o_sheep,0.9702000666544175,0.7612847550262416,0.9876177533949659,0.8006820187666457
11937588834_d5a78a9c5d_o_bottle,0.8633362765897443,0.6271140420397434,0.6460179020946941,0.6309739008229185
12288804004_ae1b540c4c_o_aeroplane,0.8776711440201003,0.661672884281746,0.9807760901236738,0.9389206367010332
1239139870_276e6a2ef9_o_person,0.9372925932261376,0.714506622693614,0.9719541551036379,0.8358073813010701
126835587_90b6eebfa7_o_cat,0.9643083787986806,0.8137461524092618,0.9903097388833598,0.9303016686407374
12876707363_6ba70c8af5_o_bird,0.9261192408360436,0.823952480983392,0.9650644618338561,0.9355486901671416
14111980784_2d38dfcc02_o_dog,0.9217269001309337,0.87754560085964,0.9829644959179799,0.9803136887903622
14235576713_d3dfbe13b1_o_motorbike,0.8989590622271486,0.694407697549429,0.9497469802658958,0.8090406299101932
14235576713_d3dfbe13b1_o_person,0.8441117863083181,0.8413014391541298,0.9819260440204752,0.9773425825018435
15172808539_97b76ceeab_o_train,0.9705744155103593,0.9462424522914451,0.9729406335727222,0.9525893453636494
15867520885_ae5da447c5_o_cat,0.9541879629705593,0.793875556170088,0.986507067622976,0.9568521488499347
15867520885_ae5da447c5_o_pottedplant,0.19586535309180805,0.4222444288121739,0.204489275849241,0.44567083318308526
17102199419_a33fb5c196_o_train,0.9495519040816859,0.6853423011963301,0.9878565779220808,0.9057550566495938
2607850431_ff980d219e_o_train,0.9575219213893595,0.8924252063213955,0.9777508333099382,0.9516895783456648
26480820297_67bf66f8b5_o_dog,0.7919491473601389,0.7889129547252729,0.9434299886721181,0.9311965765673753
26480820297_67bf66f8b5_o_person,0.8911778405907771,0.6845586954010277,0.8692946366485432,0.7444650971478253
2662086708_2ba0663717_o_bottle,0.11859922943943108,0.19889212196845732,0.1845857129080993,0.2290503147284287
2662086708_2ba0663717_o_person,0.8694893504232248,0.5549631540074993,0.980869022459497,0.8886439595674148
2732235809_2876233055_o_car,0.9138362088898462,0.7794485956211861,0.9668144843044608,0.8965355505249722
2732235809_2876233055_o_person,0.755592046745214,0.807085426933629,0.9739545262185973,0.9814836857846719
3048863084_d75a1117bb_o_horse,0.8661473243913728,0.8847303752400347,0.9688650605559159,0.9610946667834311
3149358543_538d50ec27_o_bicycle,0.48078245460306823,0.5860787110744768,0.5582625737825229,0.6985365669604172
31640175417_55233a16d7_o_pottedplant,0.40939233933851943,0.7111305722280368,0.3982713849563772,0.5714077831365375
31640175417_55233a16d7_o_sofa,0.7007360200504146,0.49150196578899513,0.7185168040570282,0.4966884161032027
31640175417_55233a16d7_o_tv,0.7196127495815141,0.5814652254818952,0.9925726676933488,0.9858544981215415
32458719610_ce4f95b295_o_boat,0.9188708621574282,0.745433114840027,0.9398940703105617,0.7915008619219642
33129627671_6d852bcb1b_o_dog,0.6997679337904806,0.6071944482565209,0.975045675729455,0.9196571888654242
33129627671_6d852bcb1b_o_person,0.8079628934455686,0.7091449685057062,0.959989483773591,0.9328760338316655
33216685756_213d2fce9b_o_dog,0.9454785115257769,0.8084573733079247,0.9735657116487756,0.805786376546098
33216685756_213d2fce9b_o_person,0.944513766456244,0.8740772417925711,0.9787670174043803,0.8885976334489261
33418369478_34e2d414b0_o_bird,0.93775729556141,0.7783050679387739,0.9648081042325996,0.9188107599235057
33854031078_243f790e9a_o_boat,0.9280627067221413,0.7732077504456418,0.9297299375844957,0.7661431800438773
34432213793_e3b4cd4bfb_o_chair,0.07215217689983479,0.372321455080789,0.12004854327231324,0.34047761277712707
3452305385_03f6b12637_o_pottedplant,0.8769659343731383,0.5536461347700448,0.8009881840450511,0.5974783330609841
3504931215_2197746522_o_cow,0.9093201407752226,0.9386550742194858,0.9498530220443566,0.9604415180416893
35437209365_176181ff01_bird,0.8371516867830203,0.8653404429860542,0.8567049422378614,0.8783810460392749
3574155766_446628652d_o_bird,0.7420626391055061,0.64206724497036,0.7434774350687775,0.6611351731331776
3597146429_174598be9a_o_tv,0.048254088618947276,0.12277633527177528,0.2912789879435175,0.07708270768422239
3672689292_95ed122fee_o_bus,0.9634091582098255,0.8715831953366748,0.9862544727366109,0.9334841573380459
37605487856_c7d4797304_o_aeroplane,0.9329166929144881,0.9177952201596516,0.9793159872167929,0.9627806907924402
3797521857_7fb15f0c39_o_bus,0.8220852093307016,0.6609122909609231,0.9038115363932843,0.803364529201482
3797521857_7fb15f0c39_o_car,0.31645789291010634,0.4415600952538424,0.773976819223911,0.6213435116999453
3837042975_f05796e37a_o_bicycle,0.4436999784542784,0.6312910637345207,0.6168126330738493,0.5969328275261854
3837042975_f05796e37a_o_person,0.8595553549745871,0.8326440769810782,0.9686627403372564,0.9487550763639692
38651289064_b2182b92f6_o_cat,0.6364494930505602,0.4984766386347651,0.682944785811542,0.6462263178377486
40833828660_5b2d7a0f4b_o_cat,0.822668962202252,0.42468493816653635,0.9891620249264582,0.9324609952210594
42343162002_e8d7500951_o_aeroplane,0.9298163205356301,0.9309440777404543,0.972260957674134,0.9696530591608705
4450861797_39f2775ae5_o_car,0.6662938833900403,0.3920140137711084,0.9326832989768672,0.7594129955845617
4450861797_39f2775ae5_o_person,0.8934130044209379,0.903149795623948,0.8379575421269664,0.7107510853868675
44719330025_1e26bb2ea6_o_bottle,0.5794697617886244,0.6498584875878104,0.7819717992489591,0.8100359924434233
44719330025_1e26bb2ea6_o_person,0.9186256542944334,0.7729524342532597,0.9609982268091783,0.8780149439289935
45984303151_b01eac2b2e_o_bird,0.9784321023491218,0.9044299499882696,0.9878524812625472,0.8869580672275509
4652537341_8e3d911398_o_sheep,0.9238431975403536,0.9147706197182107,0.9754148607102228,0.9505428624504524
4717047473_f0c8f303a6_o_tv,0.4988788862798716,0.19598962302818607,0.49584812520992494,0.36515169772808403
4723313782_5ea3d2c389_o_chair,0.18649863131972175,0.3363762482559767,0.6974508397243462,0.6936552739448623
4723313782_5ea3d2c389_o_diningtable,0.26070358808437494,0.24964449031797567,0.8437262961955139,0.5601486584481509
4723313782_5ea3d2c389_o_person,0.9337498147010864,0.820758964084051,0.9750873795415173,0.9306734199151714
4735390680_bd6796c28d_o_cat,0.9709795369985171,0.8474049934851131,0.9603283847585525,0.8233449479691622
47387878741_0c2da86654_o_bottle,0.721867068581888,0.5763689476207756,0.8793109067889747,0.885576104304788
47387878741_0c2da86654_o_diningtable,0.3603074791576954,0.3354881634077303,0.7810198495241012,0.5836523261041677
47387878741_0c2da86654_o_person,0.863271360937683,0.6986387036792874,0.9080950771824416,0.7876716588845872
4760186444_1456cb9bc0_o_bus,0.9840904678481452,0.9178190375055855,0.9911114503297342,0.9470728514235117
4838895562_2664b6eca5_o_sofa,0.6669394692221076,0.430579750428169,0.5717903485331592,0.38091293966404555
4914354205_08447ec61a_o_chair,0.7040331178732633,0.6104945249110503,0.8605930188142246,0.9116443242180434
4982019059_08cbd87a53_o_cow,0.9456442261479248,0.7638777836935806,0.9707741150164501,0.8269524567596939
5026136615_b64f7ac510_o_boat,0.672093480715222,0.7056383334300149,0.8901872911089153,0.8687318956922886
5193713346_5ac12837d0_o_sofa,0.856900537955089,0.49144625233145567,0.9613219030626985,0.7614460630824901
5435324902_2f5b7aa7f0_o_horse,0.8587634880555118,0.8147664279533354,0.8511727502547315,0.8258873153361495
5435324902_2f5b7aa7f0_o_person,0.7053638311586502,0.8472790017271215,0.9465935032567491,0.9132895790752914
5440958464_90844cabbb_o_sheep,0.9665535049311867,0.8328804976087978,0.9838023570527267,0.9202313970087267
5598547329_c160eac6e4_o_train,0.8584824402637227,0.6578827888648703,0.9028394761141303,0.732069186736797
6128334770_3960b7a82a_o_person,0.8184861116161299,0.6789888749697727,0.893141892698426,0.7987979623642757
6142607402_f286d3a354_o_bicycle,0.5104255463971659,0.7498724540978062,0.5950705731394355,0.81038808612164
6142607402_f286d3a354_o_person,0.7958707695840629,0.6857450730382239,0.9254457892120124,0.9022224238342655
6532340593_1010b553aa_o_dog,0.9285168484977974,0.7320895498612532,0.980623942348069,0.9210154777272691
6883254313_51feed67e6_o_chair,0.6921609677687797,0.6024622768764271,0.974772513808855,0.9846796230647766
6913716501_4057c5aac1_o_person,0.7297998768963481,0.5589915477019642,0.97884295138438,0.9458069704902597
6989656297_8ef3480277_o_chair,0.08015773457616335,0.2996422745464178,0.48469272721733037,0.6748719440356409
7683097726_e3b2038a71_o_pottedplant,0.43363663806369224,0.43778200558361946,0.5375022184166086,0.6218400577431387
7827876134_3d072629f7_o_chair,0.597161507825869,0.8306163536230792,0.9741084729785461,0.9860481331559177
7874701602_453598c806_o_aeroplane,0.8526644181441997,0.8805967650771707,0.9134876923856667,0.9183899307650777
8087056340_10fc3e147a_o_cow,0.9228783155870292,0.5387402990377136,0.9848666301677439,0.8348280339736144
8116513233_e19e361832_o_car,0.8900098227686117,0.5711215021635522,0.9428432647213535,0.6926300459145182
8116513233_e19e361832_o_person,0.8732474603461555,0.7485998456256708,0.9591965643324836,0.9340823279229233
875573147_30d7cc154c_o_motorbike,0.9512850812588466,0.7149414074213268,0.9816270228761578,0.7835968870461723
8838625145_83995f865b_o_car,0.917764111126479,0.70284723856612,0.9697324110969721,0.898771296846837
9177961476_282319e5c4_o_person,0.8482955338180352,0.8092059508872558,0.968053974732695,0.9783099852842501
9177961476_282319e5c4_o_sofa,0.9526994415821334,0.7946493580410634,0.9737593893267306,0.8431757054407366
9285088423_dd762ebc2a_o_horse,0.9106503301997269,0.91693157137206,0.9539672180258062,0.9625531993915728
