subdir,unrefined_iou,unrefined_boundary_iou,refined_iou,refined_boundary_iou
0_0_147,0.7363941038645194,0.5134559019451106,0.8728704825718155,0.7710962284102926
0_0_155,0.13194033335278865,0.0,0.13181456594959634,0.0957169611595147
0_0_272,0.9047828448744147,0.6968634686346864,0.9286531959641137,0.784733581164808
0_0_280,0.9634018917729873,0.8630590833793484,0.9932185114774565,0.9743534828933983
0_0_284,0.8194454145421527,0.7822348107887417,0.6762891223871668,0.7435355816155583
0_0_307,0.8304510607951506,0.6382214677461479,0.9712687274796131,0.9456406295259245
0_0_355,0.8822881737650768,0.50947426067908,0.9470088228964924,0.8059759712903729
0_0_431,0.6674948379190518,0.3568368842295119,0.9659825208586071,0.8582554517133957
0_0_547,0.9542352672569065,0.87470836978711,0.9617126916284903,0.887641706443914
0_0_579,0.3507259392306541,0.024008180565229634,0.2599829133797113,0.0
0_0_610,0.8846031409168081,0.7121771217712177,0.9351032448377581,0.8294065675158298
0_0_735,0.7935255125635887,0.4872457349081365,0.8244074311338885,0.5562768701633706
0_0_77,0.8900525187233911,0.6442226198323759,0.9205347076823965,0.7456960408684546
0_0_775,0.8666950475379595,0.6737022987387737,0.9796201795749628,0.9464659138435801
0_0_818,0.6637800571716832,0.5557359138442328,0.7081129943502825,0.6982601428354354
0_0_840,0.8286611105097954,0.6749797633272945,0.9331983805668016,0.9088077858880779
0_0_899,0.8591400127091718,0.8848089468779125,0.9596668649613326,0.9707029958336089
0_0_951,0.6823610941258,0.44401765894295764,0.9572941380707135,0.9011378226413423
0_10_10134,0.89158924506245,0.7677176339285714,0.9602871134366405,0.9056878949927079
0_10_10135,0.8882036685641999,0.7332184596943362,0.8566273543390248,0.7434572155221921
0_10_10176,0.9292181871288092,0.7441109813886408,0.9868701022367533,0.8954787029192021
0_10_10283,0.3475702726719985,0.14846051410354708,0.5264056714790046,0.17581147727038238
0_10_10343,0.7424611993423311,0.49314311711945924,0.7542492200944169,0.46252454417952316
