subdir,unrefined_iou,unrefined_boundary_iou,refined_iou,refined_boundary_iou
10444876124_bd55a85740_o_car,0.8262706583675475,0.6762665442582817,0.9837064174394363,0.9592756284104943
10625393575_6f9fd7f779_o_sheep,0.5436588516723713,0.21814529602263008,0.9871354251718991,0.7974516163127708
11937588834_d5a78a9c5d_o_bottle,0.8809218143151092,0.7624956770218496,0.46578029439482477,0.5538157663547191
12288804004_ae1b540c4c_o_aeroplane,0.7924308447356387,0.6280695135488279,0.9807961998851547,0.9534355170251847
1239139870_276e6a2ef9_o_diningtable,0.5809746938759814,0.15591413575544535,0.5690363732016093,0.1595020646601153
1239139870_276e6a2ef9_o_person,0.9160388567548865,0.673259780289518,0.9711788377092354,0.8362968503135525
126835587_90b6eebfa7_o_cat,0.9794117779421229,0.9033938900491272,0.9903258427563865,0.9303124996498651
12876707363_6ba70c8af5_o_bird,0.8750922636590042,0.6700059772331689,0.919970736221693,0.7768694923423181
14111980784_2d38dfcc02_o_dog,0.8989176577721367,0.8948375229307355,0.9829550592277783,0.9799993339974717
14235576713_d3dfbe13b1_o_motorbike,0.7647665034732939,0.6369854102406539,0.9499310654564824,0.8093975651061059
14235576713_d3dfbe13b1_o_person,0.9605362616720222,0.9528763650756915,0.9821247414395067,0.9773626952364164
15172808539_97b76ceeab_o_train,0.9729286742013117,0.908473220129198,0.9722663046965163,0.9513851664232004
15867520885_ae5da447c5_o_cat,0.7451817769425183,0.5501812895858595,0.9863777394873103,0.9564838359004844
15867520885_ae5da447c5_o_pottedplant,0.1842302432544445,0.4979164960841634,0.20774769933499027,0.48989664452556897
17102199419_a33fb5c196_o_train,0.7599631802835207,0.37332942821901755,0.9693386048915125,0.8170587010227731
2607850431_ff980d219e_o_train,0.9609550593270664,0.9177171333607413,0.9775591560858725,0.9510802406452108
26480820297_67bf66f8b5_o_dog,0.8909669901352139,0.9160306826799125,0.9442567369459178,0.9444605795108272
26480820297_67bf66f8b5_o_person,0.9149162121622764,0.7866281928324609,0.8864381621288905,0.8406744258672048
2662086708_2ba0663717_o_bottle,0.44611099940534504,0.5456725111252849,0.4364499759264072,0.4416268206706745
2662086708_2ba0663717_o_person,0.7007695120844534,0.4430992228022762,0.9712902196186664,0.7651434146341464
2732235809_2876233055_o_car,0.8832254354373178,0.7286427663380877,0.9715132629018773,0.9031067553009801
2732235809_2876233055_o_person,0.9145992351710388,0.9306363240614257,0.9727378394561657,0.9805640479336776
3048863084_d75a1117bb_o_horse,0.6496965257429888,0.7326348928561238,0.9691664405358068,0.9616407213316893
3149358543_538d50ec27_o_bicycle,0.4795604757411538,0.5456858034370825,0.5279278061096003,0.5646120398900489
31640175417_55233a16d7_o_pottedplant,0.3409697309120881,0.6617132672029794,0.4021340771251581,0.569772739989928
31640175417_55233a16d7_o_sofa,0.9644759924301096,0.9263010269941496,0.9038145526596304,0.7493833352331015
31640175417_55233a16d7_o_tv,0.9480083429162645,0.8916622670094574,0.9936428240916594,0.9876281665818647
32458719610_ce4f95b295_o_boat,0.921955781318909,0.7283359360967872,0.9404303045905518,0.79436916798496
