subdir,unrefined_iou,unrefined_boundary_iou,refined_iou,refined_boundary_iou
0_0_147,0.6884686832838883,0.4503634882808965,0.8767285233216308,0.7710026142867237
0_0_155,0.8599559955995599,0.6691209424418977,0.9176529841349786,0.796536488027366
0_0_272,0.8964350700940568,0.6740801382635193,0.9283737024221453,0.7841038600663991
0_0_280,0.7538080895008605,0.49931633077700494,0.7933895538628944,0.5572176054170515
0_0_284,0.8609688721196604,0.7568229624304391,0.6808892209975714,0.7461484167741621
0_0_307,0.8436188264713763,0.6509732605913653,0.9341431011577149,0.7351126310311501
0_0_355,0.8326526690049488,0.5014199890770071,0.9534669555796317,0.8602123981229933
0_0_431,0.9077438621287073,0.6052339413164155,0.9663249640964691,0.859209464909922
0_0_547,0.9046411668115522,0.738216367373067,0.9097711587359244,0.7455293832797205
0_0_579,0.6182730527443407,0.1799402598337352,0.8080278630297596,0.45053264943775895
0_0_610,0.14997543505805083,0.0,0.35127357987850366,0.2454404473276107
0_0_735,0.8081605573063526,0.5484296535875394,0.8249887813321367,0.5576401738456904
0_0_77,0.4901175625032086,0.16389576700860747,0.48842375053395987,0.30167382799974346
0_0_775,0.9226724684978697,0.8148335604438388,0.9798675068670222,0.947115183465127
0_0_818,0.9152669987258195,0.856479914922415,0.9682706580900544,0.9015277641758888
0_0_840,0.8034842839901348,0.7031941808981658,0.930743346589171,0.9078531485533674
0_0_899,0.8565093443142223,0.8852053438891638,0.9608240057156466,0.9686920836642838
0_0_951,0.8658252728495319,0.7784143088293174,0.959518156020154,0.9513924523020945
0_10_10134,0.0,0.0,0.0,0.0
0_10_10135,0.9071822308690013,0.8079898002549937,0.8499339498018494,0.7305389221556886
0_10_10176,0.8770446609079213,0.6232725938608291,0.9803072481699144,0.8210429750899725
0_10_10283,0.5264602779068294,0.14052213393870602,0.557516555299194,0.21016605399923946
0_10_10343,0.7404477679174738,0.48282331629682346,0.7542865031521789,0.46286580062287813
0_10_10392,0.5626298324655353,0.36099394828534753,0.6346094852444936,0.44580929759077026
0_10_10396,0.7733015697451823,0.4610936955764542,0.96228176128253,0.8754416069445846
0_10_10484,0.8835324958295033,0.752821270310192,0.98224043715847,0.9695178274524293
0_10_10507,0.8599860063748737,0.8091369289419411,0.6276681977843827,0.6776612646965364
0_10_10536,0.9548105798105798,0.823091570019041,0.9603419113205267,0.8705048611924564
0_10_10545,0.7131391086243488,0.48910338910338913,0.9317761806981519,0.7179501233214579
0_10_10600,0.9422862601496577,0.7469971563176435,0.9786603272269613,0.9212652739456051
0_10_10938,0.38691057632537074,0.17392118068552484,0.46243143937376857,0.24893672199170125
0_11_11060,0.2166644670274075,0.0662390276839973,0.20866247438705574,0.12565859705912738
0_11_11111,0.38313580726636876,0.37798290598290596,0.4115954235979504,0.47596297402209614
0_11_11136,0.826787858000343,0.6499560700811411,0.8939328344362669,0.7218442507731234
0_11_11164,0.6880733944954128,0.5357908569057335,0.8140715289707949,0.6665334824996004
0_11_11179,0.4750266935579547,0.4486748708471586,0.7473550839404498,0.7431841444123941
0_11_11219,0.00950501429779693,0.1297596123982856,0.01756587202007528,0.1333832896215811
0_11_11263,0.08326899746332855,0.0,0.08773331396615586,0.0
0_11_11281,0.7959147529370093,0.5442916752171831,0.8640510404865541,0.6611106958666567
0_11_11297,0.8787326191018919,0.6754400670578374,0.9861661746098692,0.9601808956540923
0_11_11298,0.00013984058173682003,0.0006650594396874221,0.0,0.0
0_11_11309,0.23266946756079826,0.1036415529039579,0.0,0.137226421945664
0_11_11313,0.06885824534115043,0.05375792614696009,0.14924836797029406,0.06318457932749796
0_11_11325,0.05492589363557106,0.28030250945342045,0.056162246489859596,0.3042537313432836
0_11_11328,0.8028962188254224,0.4691974447463103,0.8341155700998967,0.5657686212361331
