subdir,unrefined_iou,unrefined_boundary_iou,refined_iou,refined_boundary_iou
0_0_147,0.7363941038645194,0.5134559019451106,0.875764621713468,0.7720933516929703
0_0_155,0.13194033335278865,0.0,0.006544421258269325,0.32796679101337894
0_0_272,0.9047828448744147,0.6968634686346864,0.9282729619673702,0.7833110351320549
0_0_280,0.9634018917729873,0.8630590833793484,0.9934434604904632,0.975091064923934
0_0_284,0.8194454145421527,0.7822348107887417,0.6801210898082745,0.7452367065227957
0_0_307,0.8304510607951506,0.6382214677461479,0.9708084541749598,0.9431653983238609
0_0_355,0.8822881737650768,0.50947426067908,0.9487497305453761,0.8107304864695761
0_0_431,0.6674948379190518,0.3568368842295119,0.9667541340726805,0.8581761680240034
0_0_547,0.9542352672569065,0.87470836978711,0.9737762690782825,0.9223264256542126
0_0_579,0.3507259392306541,0.024008180565229634,0.3493611247782201,0.01910377358490566
0_0_610,0.8846031409168081,0.7121771217712177,0.9340254141139097,0.8283170211200236
0_0_735,0.7935255125635887,0.4872457349081365,0.824539484222329,0.5565445476436188
0_0_77,0.8900525187233911,0.6442226198323759,0.92076432300058,0.7459238435982622
0_0_775,0.8666950475379595,0.6737022987387737,0.9798041813422949,0.946586916513301
0_0_818,0.6637800571716832,0.5557359138442328,0.704194955262803,0.6987264778559209
0_0_840,0.8286611105097954,0.6749797633272945,0.9334069845946111,0.9086529102589059
0_0_899,0.8591400127091718,0.8848089468779125,0.9608333333333333,0.9686941558011781
0_0_951,0.6823610941258,0.44401765894295764,0.9580751635879321,0.9124490070381495
0_10_10134,0.89158924506245,0.7677176339285714,0.9598899993292642,0.9047619047619048
0_10_10135,0.8882036685641999,0.7332184596943362,0.8495551836518982,0.728614778971541
0_10_10176,0.9292181871288092,0.7441109813886408,0.98696848554073,0.8955764488286067
0_10_10283,0.3475702726719985,0.14846051410354708,0.5230816736143277,0.18789598310472086
0_10_10343,0.7424611993423311,0.49314311711945924,0.7542287092083709,0.4626195752798272
0_10_10392,0.6860950789793439,0.5125026791455312,0.8905582178474291,0.7427415860176224
0_10_10396,0.951462156713878,0.8310555963752143,0.9632425606676183,0.8791491941595514
0_10_10484,0.25710832392161526,0.3959594537519358,0.24510457298547542,0.3425809799766466
0_10_10507,0.8747923752273986,0.8323645227826739,0.9565880348013275,0.9523215341170289
0_10_10536,0.9671493345034372,0.8821659799882283,0.960433718928388,0.870723992502343
