subdir,unrefined_iou,unrefined_boundary_iou,refined_iou,refined_boundary_iou
0_0_147,0.6884686832838883,0.4503634882808965,0.8833133340605797,0.7847589314222869
0_0_155,0.8599559955995599,0.6691209424418977,0.9119203629032258,0.789171974522293
0_0_272,0.8964350700940568,0.6740801382635193,0.9290651437111366,0.7833833735295566
0_0_280,0.7538080895008605,0.49931633077700494,0.799752781211372,0.5604223097759172
0_0_284,0.8609688721196604,0.7568229624304391,0.6916623357339075,0.7458613083840318
0_0_307,0.8436188264713763,0.6509732605913653,0.9699782176342456,0.9443535188216039
0_0_355,0.8326526690049488,0.5014199890770071,0.9605062186340825,0.8378954011201388
0_0_431,0.9077438621287073,0.6052339413164155,0.963585364642804,0.8223560209424083
0_0_547,0.9046411668115522,0.738216367373067,0.9013735536792475,0.7779383429672447
0_0_579,0.6182730527443407,0.1799402598337352,0.1950469158590986,0.3970265445286663
0_0_610,0.14997543505805083,0.0,0.16805885431343343,0.15930570025301385
0_0_735,0.8081605573063526,0.5484296535875394,0.8311159907000775,0.571372719374457
0_0_77,0.4901175625032086,0.16389576700860747,0.9251460090850098,0.7622083902636506
0_0_775,0.9226724684978697,0.8148335604438388,0.9788553982070937,0.9463628762541806
0_0_818,0.9152669987258195,0.856479914922415,0.9690504248588973,0.901462174189447
0_0_840,0.8034842839901348,0.7031941808981658,0.9354461538461538,0.9098791893998441
0_0_899,0.8565093443142223,0.8852053438891638,0.9587286527514232,0.9688407710588857
0_0_951,0.8658252728495319,0.7784143088293174,0.9573672837703674,0.9276435319767442
0_10_10134,0.0,0.0,0.0,0.0
0_10_10135,0.9071822308690013,0.8079898002549937,0.6556986591390261,0.5813417604845612
0_10_10176,0.8770446609079213,0.6232725938608291,0.9849585062240664,0.852267723469837
0_10_10283,0.5264602779068294,0.14052213393870602,0.8268485184159513,0.3320222666408752
0_10_10343,0.7404477679174738,0.48282331629682346,0.7541685859051128,0.4635027299454011
0_10_10392,0.5626298324655353,0.36099394828534753,0.7998988602326215,0.5014973875366382
0_10_10396,0.7733015697451823,0.4610936955764542,0.9600340603197275,0.8695827048768225
0_10_10484,0.8835324958295033,0.752821270310192,0.9806419715524455,0.9372765680857978
0_10_10507,0.8599860063748737,0.8091369289419411,0.606164075837901,0.7171108085327109
0_10_10536,0.9548105798105798,0.823091570019041,0.9499108249448324,0.8354525056095736
0_10_10545,0.7131391086243488,0.48910338910338913,0.9678111587982833,0.7729327781082689
0_10_10600,0.9422862601496577,0.7469971563176435,0.969915123672932,0.8150788029041969
0_10_10938,0.38691057632537074,0.17392118068552484,0.46741669575490696,0.24456048738033073
0_11_11060,0.2166644670274075,0.0662390276839973,0.0,0.34104995892763795
0_11_11111,0.38313580726636876,0.37798290598290596,0.34871303395399783,0.2797975352112676
0_11_11136,0.826787858000343,0.6499560700811411,0.8983092988562904,0.7260312623441115
0_11_11164,0.6880733944954128,0.5357908569057335,0.8409368138570383,0.6479827303855888
0_11_11179,0.4750266935579547,0.4486748708471586,0.00016326423990700468,0.4708676125750169
0_11_11219,0.00950501429779693,0.1297596123982856,0.018011818991338135,0.13802781762614608
0_11_11263,0.08326899746332855,0.0,0.08842561414809827,0.0
0_11_11281,0.7959147529370093,0.5442916752171831,0.8710103985093466,0.6800544588155207
0_11_11297,0.8787326191018919,0.6754400670578374,0.9629261833829857,0.8023277295399963
0_11_11298,0.00013984058173682003,0.0006650594396874221,0.0,0.03284531447058178
0_11_11309,0.23266946756079826,0.1036415529039579,0.3669657031048104,0.2297202887675628
0_11_11313,0.06885824534115043,0.05375792614696009,0.1278672815475834,0.05422563153022087
0_11_11325,0.05492589363557106,0.28030250945342045,0.29566760969656625,0.3548584779194914
0_11_11328,0.8028962188254224,0.4691974447463103,0.7461860402322128,0.4937415115809566
0_11_11346,0.8789644012944984,0.7551700680272109,0.9077146570838749,0.7999715969608748
0_11_11425,0.909939276044268,0.6921102404755471,0.9672837940654324,0.8385286783042394
0_11_11435,0.0,0.0,0.0,0.0
0_11_11459,0.8830742372599552,0.8150299068020587,0.9350485217783796,0.9026046746866081
0_11_11480,0.4915513926831736,0.2009464595866791,0.45585902846850723,0.3204063533016206
0_11_11517,0.944447708002898,0.7659222848425781,0.9881821197545199,0.9406232186965608
0_11_11533,0.862211614956245,0.5813149619529994,0.9104094567795622,0.7611595690097486
0_11_11557,0.9528173003232148,0.8212578616352201,0.968358395989975,0.7874914403104314
0_11_11561,0.3162735338671283,0.018743038981702466,0.11203713046110382,0.13224145999064107
0_11_11571,0.5770480146096287,0.11028011006843999,0.6067392818909412,0.1624278924645358
0_11_11650,0.8616299340057278,0.5974291115311909,0.884390441474281,0.6744149887273575
0_11_11830,0.928891394919024,0.7401510092968309,0.9707328494497776,0.8837021202842452
0_11_11852,0.8499172246794001,0.5495965286236297,0.9822507552870091,0.9216439976345357
0_11_11875,0.9326009501187649,0.7384232992921598,0.978894472361809,0.9138855054811206
0_11_11881,0.19261388766032728,0.07370701461689783,0.23161149966737984,0.1814100130403922
0_11_11924,0.9385327589532566,0.8325683496308122,0.9651778106641553,0.8971629968245106
0_11_11945,0.12610272899661967,0.02057791159982034,0.17939088081685348,0.051260700996591295
0_11_11981,0.7956942763271658,0.7215526179367548,0.8497926130752518,0.7378981690494106
0_11_11987,0.20411433715957686,0.0027345393352965924,0.31784631791647955,0.11373806796487208
0_12_12000,0.5892241615144718,0.29246487867177523,0.5695933387852204,0.425652873682571
0_12_12048,0.8767716412796311,0.6042294627051338,0.9837124303608814,0.869133264816718
0_12_12072,0.9024621811507058,0.8475695027129831,0.7719598058650625,0.7926602493983811
0_12_12144,0.44902266425723864,0.36134132834281785,0.4869579564715235,0.3927856380138815
0_12_12171,0.23884986882198614,0.16202383453906882,0.017118746232670283,0.22074141460086422
0_12_12226,0.7739225979733855,0.5353725279521875,0.7140060011188527,0.5111602595815267
0_12_12322,0.9301956521739131,0.7387036521877359,0.973543490951547,0.7573505537717811
0_12_12344,0.597084394484939,0.4577746030715283,0.5945231239348886,0.3542659365147097
0_12_12372,0.9209118866158578,0.8074504497333439,0.9527636773829667,0.8815548526718828
0_12_12424,0.8948893164377806,0.5614354002558406,0.8507092804648778,0.29896335897770243
0_12_12429,0.9477451016842027,0.7768916155419223,0.9430145627287595,0.5681629853987484
0_12_12435,0.9398298341188712,0.8103456587764547,0.9794325560566804,0.9176796430220033
0_12_12484,0.7229421228855938,0.37168784828528006,0.9615812591508053,0.601678060907396
0_12_12518,0.5474887935605147,0.04697808812906333,0.5875273948620855,0.3911157704324947
0_12_12597,0.2990353143841516,0.22578069825283262,0.0,0.2234574575927553
0_12_12619,0.6674209910261413,0.5090465541776784,0.801923076923077,0.6799186187176949
0_12_12649,0.8873427373236752,0.7600421380479091,0.9275002071422653,0.8428745432399513
0_12_12693,0.9343015397662523,0.7914026530519214,0.9763055956117285,0.8063264954318221
0_12_12705,0.846520367760553,0.4390847247990105,0.9354814593301436,0.749962161344029
0_12_12750,0.8799745369419689,0.5642355451501052,0.9315569951635089,0.5782476708887261
0_12_12771,0.5405369660097871,0.2647776899006224,0.910227206354769,0.608814352574103
0_12_12793,0.9415357766143106,0.8567125645438899,0.9736779038185014,0.9450427780573729
0_12_12816,0.3132996292551399,0.23980245533114358,0.3030071322162604,0.2723447751259865
0_12_12833,0.3008401909861449,0.3062895343671328,0.0,0.11079998276827639
0_12_12845,0.9559496717151901,0.878956157042445,0.9714083433177214,0.906414177056379
0_12_12884,0.43113340172498954,0.08656100295586587,0.07306302282140827,0.2010743303873244
0_12_12891,0.3568672092890887,0.17577954787094974,0.28723053233611967,0.12398344691276687
0_12_12892,0.852584798875679,0.5892883489893277,0.9021933387489846,0.68291510945008
0_12_12921,0.16621547289062416,0.19392242470260693,0.002142279349671547,0.39052556673782657
0_12_12923,0.8347806084306171,0.6203433376153218,0.9708253621207981,0.9152571330941398
0_12_12974,0.8835443037974684,0.7189707139322506,0.8652100702287568,0.6983624604375946
0_13_13027,0.8942694691113524,0.7042778533814568,0.9283226525494567,0.810710157955567
