subdir,unrefined_iou,unrefined_boundary_iou,refined_iou,refined_boundary_iou
0_0_147,0.6884686832838883,0.4503634882808965,0.8758677449366635,0.7698636909386256
0_0_155,0.8599559955995599,0.6691209424418977,0.9178263333543227,0.7950545143590109
0_0_272,0.8964350700940568,0.6740801382635193,0.9286170722615688,0.7844507209751747
0_0_280,0.7538080895008605,0.49931633077700494,0.7939788556649576,0.5561049011177988
0_0_284,0.8609688721196604,0.7568229624304391,0.6771526894591158,0.7450064472179646
0_0_307,0.8436188264713763,0.6509732605913653,0.9389827291706206,0.736536312849162
0_0_355,0.8326526690049488,0.5014199890770071,0.9501700588457593,0.8480484412077571
0_0_431,0.9077438621287073,0.6052339413164155,0.9664183721448192,0.8629406057992886
0_0_547,0.9046411668115522,0.738216367373067,0.9225499103700612,0.7810224114273652
0_0_579,0.6182730527443407,0.1799402598337352,0.8090880839750009,0.4545813196567709
0_0_610,0.14997543505805083,0.0,0.32930344275420337,0.2544738399890715
0_0_735,0.8081605573063526,0.5484296535875394,0.8250681198910081,0.5582737531225773
0_0_77,0.4901175625032086,0.16389576700860747,0.4938495559932276,0.2997315521359572
0_0_775,0.9226724684978697,0.8148335604438388,0.9798306289999353,0.946705710102489
0_0_818,0.9152669987258195,0.856479914922415,0.9691098180017333,0.902405565626378
0_0_840,0.8034842839901348,0.7031941808981658,0.930743346589171,0.9078531485533674
0_0_899,0.8565093443142223,0.8852053438891638,0.9612772548552365,0.9701670644391408
0_0_951,0.8658252728495319,0.7784143088293174,0.9591174937749725,0.9504571748460534
0_10_10134,0.0,0.0,0.0,0.0
0_10_10135,0.9071822308690013,0.8079898002549937,0.8500484282821168,0.7292264785497499
0_10_10176,0.8770446609079213,0.6232725938608291,0.9827898082588248,0.835678391959799
0_10_10283,0.5264602779068294,0.14052213393870602,0.5575249082328264,0.21016605399923946
0_10_10343,0.7404477679174738,0.48282331629682346,0.7542053150765606,0.46246633752244165
0_10_10392,0.5626298324655353,0.36099394828534753,0.6563284502208523,0.5075594726282603
0_10_10396,0.7733015697451823,0.4610936955764542,0.9624433768016473,0.8770318021201413
0_10_10484,0.8835324958295033,0.752821270310192,0.9824154956323585,0.9692009476631488
0_10_10507,0.8599860063748737,0.8091369289419411,0.605132823052679,0.6193115138870778
0_10_10536,0.9548105798105798,0.823091570019041,0.9603431091244072,0.8701762604672952
0_10_10545,0.7131391086243488,0.48910338910338913,0.9331688258276783,0.7201209455744915
0_10_10600,0.9422862601496577,0.7469971563176435,0.9795827040331152,0.9236505506444763
0_10_10938,0.38691057632537074,0.17392118068552484,0.4625649220934878,0.24894317798698098
0_11_11060,0.2166644670274075,0.0662390276839973,0.20478251220594762,0.12479808975349392
0_11_11111,0.38313580726636876,0.37798290598290596,0.4153431650595576,0.4878457669740151
0_11_11136,0.826787858000343,0.6499560700811411,0.8942093541202673,0.7218692009222291
0_11_11164,0.6880733944954128,0.5357908569057335,0.8116675753563362,0.6606463878326996
0_11_11179,0.4750266935579547,0.4486748708471586,0.7532392559332906,0.7480477937717566
0_11_11219,0.00950501429779693,0.1297596123982856,0.015542154045412232,0.13392857142857142
0_11_11263,0.08326899746332855,0.0,0.08774860895210146,0.0
0_11_11281,0.7959147529370093,0.5442916752171831,0.8645665533082751,0.6623532051761538
0_11_11297,0.8787326191018919,0.6754400670578374,0.9859939250759365,0.9598544171170178
0_11_11298,0.00013984058173682003,0.0006650594396874221,0.0,0.0
0_11_11309,0.23266946756079826,0.1036415529039579,0.0,0.1083982683982684
0_11_11313,0.06885824534115043,0.05375792614696009,0.14682278253578487,0.0601256783776064
0_11_11325,0.05492589363557106,0.28030250945342045,0.05616537582882933,0.3042537313432836
0_11_11328,0.8028962188254224,0.4691974447463103,0.8326277105585523,0.568561872909699
0_11_11346,0.8789644012944984,0.7551700680272109,0.9099663711403241,0.8027728403839317
0_11_11425,0.909939276044268,0.6921102404755471,0.9808937177403256,0.9293440613843449
0_11_11435,0.0,0.0,0.0,0.0
0_11_11459,0.8830742372599552,0.8150299068020587,0.9356861340021497,0.9029683663151813
0_11_11480,0.4915513926831736,0.2009464595866791,0.5805427846016606,0.4092772936955407
0_11_11517,0.944447708002898,0.7659222848425781,0.992226368159204,0.9560070925384578
0_11_11533,0.862211614956245,0.5813149619529994,0.9208409330901411,0.7458415491177511
0_11_11557,0.9528173003232148,0.8212578616352201,0.9882781342118953,0.9561943874058864
0_11_11561,0.3162735338671283,0.018743038981702466,8.695760195778829e-05,0.294271443769271
0_11_11571,0.5770480146096287,0.11028011006843999,0.6035292924512355,0.15076501154734412
0_11_11650,0.8616299340057278,0.5974291115311909,0.8889567691837752,0.7201624148962349
0_11_11830,0.928891394919024,0.7401510092968309,0.9827927414215275,0.9328309109396495
0_11_11852,0.8499172246794001,0.5495965286236297,0.9886498882405875,0.9391737182677949
0_11_11875,0.9326009501187649,0.7384232992921598,0.981505376344086,0.9219246759598924
0_11_11881,0.19261388766032728,0.07370701461689783,0.27184056073977114,0.28986883646910855
0_11_11924,0.9385327589532566,0.8325683496308122,0.9673910610774155,0.9002692590131832
0_11_11945,0.12610272899661967,0.02057791159982034,0.17950523813715996,0.0568636286824762
0_11_11981,0.7956942763271658,0.7215526179367548,0.8742778811318908,0.819443475835135
0_11_11987,0.20411433715957686,0.0027345393352965924,0.4787768720699413,0.16318602681309693
0_12_12000,0.5892241615144718,0.29246487867177523,0.6184133915574963,0.407066748712634
0_12_12048,0.8767716412796311,0.6042294627051338,0.9901014688143049,0.9484719916374592
0_12_12072,0.9024621811507058,0.8475695027129831,0.954149066630331,0.9181451612903225
0_12_12144,0.44902266425723864,0.36134132834281785,0.49171714112658993,0.4426047775711629
0_12_12171,0.23884986882198614,0.16202383453906882,0.25926637465099006,0.2648936170212766
0_12_12226,0.7739225979733855,0.5353725279521875,0.7756086530489184,0.5482769830949284
0_12_12322,0.9301956521739131,0.7387036521877359,0.989701530790559,0.9468364575448596
0_12_12344,0.597084394484939,0.4577746030715283,0.6660298428802003,0.5566597448828241
