image_name,Dp,Gd,Gc,sp,ctr,bri,tex,frac,Sm,prompt
0_14_14532,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_14_14597,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_14_14651,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_14_14747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_14_14830,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_14_14831,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_14_14901,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_14_14926,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_14_14991,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15_15022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15_15030,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15_15264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15_15345,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15_15522,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15_15620,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15_15622,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15_15644,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15_15663,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15_15742,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15_15763,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15_15844,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15_15857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15_15859,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15_15876,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15_15880,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15_15935,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15_15980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_16_16030,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_16_16079,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_16_16196,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_16_16223,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_16_16283,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_16_16403,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_16_16431,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_16_16627,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_16_16629,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_16_16704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_16_16768,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_16_16801,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_16_16905,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_16_16940,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_16_16947,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_16_16968,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_16_16989,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_17_17022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
